"","v","type","claw","dist","age"
"92","KC young #16448967","KC",0,6489.50302,"young"
"93","KC young #16443532","KC",0,8522.34909,"young"
"94","KC young #15939130","KC",0,8565.232071,"young"
"95","KC young #15741951","KC",0,6489.50302,"young"
"96","KC young #16448926","KC",0,9736.425336,"young"
"104","KC young #15788419","KC",0,11171.51849,"young"
"106","KC very young #16053650","KC",0,8565.232071,"young"
"107","KC young #10450307","KC",0,2956.61278,"young"
"109","KC young #16448934","KC",0,0,"young"
"110","KC very young #17454963","KC",0,7916.064646,"young"
"331","MBE9a left","MBIN",NA,NA,NA
"332","MBE1d left","MBIN",NA,NA,NA
"333","MBE4f right","MBIN",NA,NA,NA
"334","MBE1b right","MBIN",NA,NA,NA
"335","MBE1d right","MBIN",NA,NA,NA
"336","MBE1b left","MBIN",NA,NA,NA
"337","MBE1c left","MBIN",NA,NA,NA
"338","MBE24a left","MBIN",NA,NA,NA
"339","MBE4a left","MBIN",NA,NA,NA
"340","MBE4h right","MBIN",NA,NA,NA
"341","MBE4h left","MBIN",NA,NA,NA
"342","MBE4g left","MBIN",NA,NA,NA
"343","MBE4a right","MBIN",NA,NA,NA
"344","MBE1c right","MBIN",NA,NA,NA
"345","MBE10a right","MBIN",NA,NA,NA
"346","MBE10b right","MBIN",NA,NA,NA
"347","MBE24a right","MBIN",NA,NA,NA
"348","MBE4g right","MBIN",NA,NA,NA
"349","MBE22 right","MBIN",NA,NA,NA
"350","Ladder (olfactory) post.","MBIN",NA,NA,NA
"351","Ladder (olfactory) ant.","MBIN",NA,NA,NA
"462","MBE18 left","MBON",NA,NA,NA
"463","MBE9b left","MBON",NA,NA,NA
"464","MBE5b right","MBON",NA,NA,NA
"465","MBE15a left","MBON",NA,NA,NA
"466","MBE15b left","MBON",NA,NA,NA
"467","MBE7b left","MBON",NA,NA,NA
"468","MBE6 left","MBON",NA,NA,NA
"469","MBE2a left","MBON",NA,NA,NA
"470","MBE13b left","MBON",NA,NA,NA
"471","MBE5a right","MBON",NA,NA,NA
"472","MBE11b left","MBON",NA,NA,NA
"473","MBE11a left","MBON",NA,NA,NA
"474","MBE13a left","MBON",NA,NA,NA
"475","MBE7a left","MBON",NA,NA,NA
"476","MBE26 left","MBON",NA,NA,NA
"477","MBE24b left","MBON",NA,NA,NA
"478","MBE35 left","MBON",NA,NA,NA
"479","MBE5a left","MBON",NA,NA,NA
"480","MBE2as left","MBON",NA,NA,NA
"481","MBE33 left","MBON",NA,NA,NA
"482","MBE20 left","MBON",NA,NA,NA
"483","MBE13a right","MBON",NA,NA,NA
"484","MBE13b right","MBON",NA,NA,NA
"485","MBE23 left","MBON",NA,NA,NA
"486","MBE16 left","MBON",NA,NA,NA
"487","MBE2a right","MBON",NA,NA,NA
"488","MBE30 left","MBON",NA,NA,NA
"489","MBE5b left","MBON",NA,NA,NA
"490","MBE34 left","MBON",NA,NA,NA
"622","22c PN left","PN",NA,NA,NA
"623","74a PN left","PN",NA,NA,NA
"624","85c PN left","PN",NA,NA,NA
"625","63a PN left","PN",NA,NA,NA
"626","59a PN left","PN",NA,NA,NA
"627","45a PN left","PN",NA,NA,NA
"628","94a & 94b PN left","PN",NA,NA,NA
"629","45b PN left","PN",NA,NA,NA
"630","49a PN left","PN",NA,NA,NA
"631","42a PN left","PN",NA,NA,NA
"632","47a & 33b PN left","PN",NA,NA,NA
"633","1a PN left","PN",NA,NA,NA
"634","30a PN left","PN",NA,NA,NA
"635","mPN iACT bilateral UPPER right","PN",NA,NA,NA
"636","13a PN left","PN",NA,NA,NA
"637","42b PN left","PN",NA,NA,NA
"638","24a PN left","PN",NA,NA,NA
"639","67b PN left","PN",NA,NA,NA
"640","mPN iACT bilateral UPPER left","PN",NA,NA,NA
"641","35a PN bilateral left","PN",NA,NA,NA
"642","Handlebar PN (CB on left)","PN",NA,NA,NA
"643","83a PN left","PN",NA,NA,NA
"644","non-olfactory PN left","PN",NA,NA,NA
"645","35a PN bilateral right","PN",NA,NA,NA
"646","Handlebar PN (CB on Right)","PN",NA,NA,NA
"647","backwards handlebar right","PN",NA,NA,NA
"648","backwards handlebar left (looks like 35a)","PN",NA,NA,NA
"649","AVL011 Left","PN",NA,NA,NA
"650","Gustatory? PN","PN",NA,NA,NA
"651","Lower Looping PN Left - AVM004","PN",NA,NA,NA
"652","PPLV - 2 Left (maybe PVL014c)","PN",NA,NA,NA
"653","handlebar-like neuron [missing soma]","PN",NA,NA,NA
"654","PN in Olfactory Bundle??","PN",NA,NA,NA
"655","handlebar neuron","PN",NA,NA,NA
"656","LH bilateral axon 2 MB Right GAP","PN",NA,NA,NA
"657","LH bilateral axon 2 MB Left","PN",NA,NA,NA
"658","mPN iACT bilateral LOWER left","PN",NA,NA,NA
"659","82a PN left","PN",NA,NA,NA
"660","33a PN left","PN",NA,NA,NA
"661","PVL005 - 2 Left","PN",NA,NA,NA
"662","PN in Olfactory Bundle 2 ??","PN",NA,NA,NA
"663","nc1;left","PN",NA,NA,NA
"664","mPN iACT bilateral LOWER right","PN",NA,NA,NA
"665","PVL005 - 1 Left","PN",NA,NA,NA
"666","mPN iACT C2 left","PN",NA,NA,NA
"667","Upper Looping PN Left - AVM004","PN",NA,NA,NA
"668","5thLN;left","PN",NA,NA,NA
"669","nc2;left","PN",NA,NA,NA
"670","mPN D left","PN",NA,NA,NA
"671","mPN BAmd1-g right","PN",NA,NA,NA
"672","mPN iACT C1 left","PN",NA,NA,NA
"673","PN Only Connects To Togethers Left","PN",NA,NA,NA
"674","mPN iACT VUM R","PN",NA,NA,NA
"675","A ; Left 4th order Thermo","PN",NA,NA,NA
"676","mPN iACT B3 left","PN",NA,NA,NA
"677","Columbus of GPhN left (PN to ??)","PN",NA,NA,NA
"678","MBON ML III. Baso-Anterior target neuron #2 MB PN - contralateral","PN",NA,NA,NA
"679","mPN iACT B1 left","PN",NA,NA,NA
